唯一id,等级,职业id,attribute
288,288,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4455#"maximumHealth":35890#"shen":2960#"xin":2950#"li":4385#"expPoint":1000}
289,289,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4470#"maximumHealth":36010#"shen":2970#"xin":2960#"li":4400#"expPoint":1000}
290,290,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4485#"maximumHealth":36130#"shen":2980#"xin":2970#"li":4415#"expPoint":1000}
291,291,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4500#"maximumHealth":36250#"shen":2990#"xin":2980#"li":4430#"expPoint":1000}
292,292,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4515#"maximumHealth":36370#"shen":3000#"xin":2990#"li":4445#"expPoint":1000}
293,293,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4530#"maximumHealth":36490#"shen":3010#"xin":3000#"li":4460#"expPoint":1000}
294,294,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4545#"maximumHealth":36610#"shen":3020#"xin":3010#"li":4475#"expPoint":1000}
295,295,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4560#"maximumHealth":36730#"shen":3030#"xin":3020#"li":4490#"expPoint":1000}
296,296,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4575#"maximumHealth":36850#"shen":3040#"xin":3030#"li":4505#"expPoint":1000}
297,297,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4590#"maximumHealth":36970#"shen":3050#"xin":3040#"li":4520#"expPoint":1000}
298,298,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4605#"maximumHealth":37090#"shen":3060#"xin":3050#"li":4535#"expPoint":1000}
299,299,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4620#"maximumHealth":37210#"shen":3070#"xin":3060#"li":4550#"expPoint":1000}
300,300,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4635#"maximumHealth":37330#"shen":3080#"xin":3070#"li":4565#"expPoint":1000}
301,301,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4650#"maximumHealth":37450#"shen":3090#"xin":3080#"li":4580#"expPoint":1000}
302,302,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4665#"maximumHealth":37570#"shen":3100#"xin":3090#"li":4595#"expPoint":1000}
303,303,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4680#"maximumHealth":37690#"shen":3110#"xin":3100#"li":4610#"expPoint":1000}
304,304,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4695#"maximumHealth":37810#"shen":3120#"xin":3110#"li":4625#"expPoint":1000}
305,305,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4710#"maximumHealth":37930#"shen":3130#"xin":3120#"li":4640#"expPoint":1000}
306,306,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4725#"maximumHealth":38050#"shen":3140#"xin":3130#"li":4655#"expPoint":1000}
307,307,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4740#"maximumHealth":38170#"shen":3150#"xin":3140#"li":4670#"expPoint":1000}
308,308,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4755#"maximumHealth":38290#"shen":3160#"xin":3150#"li":4685#"expPoint":1000}
309,309,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4770#"maximumHealth":38410#"shen":3170#"xin":3160#"li":4700#"expPoint":1000}
310,310,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4785#"maximumHealth":38530#"shen":3180#"xin":3170#"li":4715#"expPoint":1000}
311,311,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4800#"maximumHealth":38650#"shen":3190#"xin":3180#"li":4730#"expPoint":1000}
312,312,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4815#"maximumHealth":38770#"shen":3200#"xin":3190#"li":4745#"expPoint":1000}
313,313,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4830#"maximumHealth":38890#"shen":3210#"xin":3200#"li":4760#"expPoint":1000}
314,314,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4845#"maximumHealth":39010#"shen":3220#"xin":3210#"li":4775#"expPoint":1000}
315,315,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4860#"maximumHealth":39130#"shen":3230#"xin":3220#"li":4790#"expPoint":1000}
316,316,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4875#"maximumHealth":39250#"shen":3240#"xin":3230#"li":4805#"expPoint":1000}
317,317,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4890#"maximumHealth":39370#"shen":3250#"xin":3240#"li":4820#"expPoint":1000}
318,318,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4905#"maximumHealth":39490#"shen":3260#"xin":3250#"li":4835#"expPoint":1000}
319,319,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4920#"maximumHealth":39610#"shen":3270#"xin":3260#"li":4850#"expPoint":1000}
320,320,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4935#"maximumHealth":39730#"shen":3280#"xin":3270#"li":4865#"expPoint":1000}
321,321,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4950#"maximumHealth":39850#"shen":3290#"xin":3280#"li":4880#"expPoint":1000}
322,322,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4965#"maximumHealth":39970#"shen":3300#"xin":3290#"li":4895#"expPoint":1000}
323,323,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4980#"maximumHealth":40090#"shen":3310#"xin":3300#"li":4910#"expPoint":1000}
324,324,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":4995#"maximumHealth":40210#"shen":3320#"xin":3310#"li":4925#"expPoint":1000}
325,325,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5010#"maximumHealth":40330#"shen":3330#"xin":3320#"li":4940#"expPoint":1000}
326,326,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5025#"maximumHealth":40450#"shen":3340#"xin":3330#"li":4955#"expPoint":1000}
327,327,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5040#"maximumHealth":40570#"shen":3350#"xin":3340#"li":4970#"expPoint":1000}
328,328,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5055#"maximumHealth":40690#"shen":3360#"xin":3350#"li":4985#"expPoint":1000}
329,329,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5070#"maximumHealth":40810#"shen":3370#"xin":3360#"li":5000#"expPoint":1000}
330,330,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5085#"maximumHealth":40930#"shen":3380#"xin":3370#"li":5015#"expPoint":1000}
331,331,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5100#"maximumHealth":41050#"shen":3390#"xin":3380#"li":5030#"expPoint":1000}
332,332,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5115#"maximumHealth":41170#"shen":3400#"xin":3390#"li":5045#"expPoint":1000}
333,333,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5130#"maximumHealth":41290#"shen":3410#"xin":3400#"li":5060#"expPoint":1000}
334,334,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5145#"maximumHealth":41410#"shen":3420#"xin":3410#"li":5075#"expPoint":1000}
335,335,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5160#"maximumHealth":41530#"shen":3430#"xin":3420#"li":5090#"expPoint":1000}
336,336,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5175#"maximumHealth":41650#"shen":3440#"xin":3430#"li":5105#"expPoint":1000}
337,337,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5190#"maximumHealth":41770#"shen":3450#"xin":3440#"li":5120#"expPoint":1000}
338,338,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5205#"maximumHealth":41890#"shen":3460#"xin":3450#"li":5135#"expPoint":1000}
339,339,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5220#"maximumHealth":42010#"shen":3470#"xin":3460#"li":5150#"expPoint":1000}
340,340,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5235#"maximumHealth":42130#"shen":3480#"xin":3470#"li":5165#"expPoint":1000}
341,341,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5250#"maximumHealth":42250#"shen":3490#"xin":3480#"li":5180#"expPoint":1000}
342,342,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5265#"maximumHealth":42370#"shen":3500#"xin":3490#"li":5195#"expPoint":1000}
343,343,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5280#"maximumHealth":42490#"shen":3510#"xin":3500#"li":5210#"expPoint":1000}
344,344,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5295#"maximumHealth":42610#"shen":3520#"xin":3510#"li":5225#"expPoint":1000}
345,345,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5310#"maximumHealth":42730#"shen":3530#"xin":3520#"li":5240#"expPoint":1000}
346,346,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5325#"maximumHealth":42850#"shen":3540#"xin":3530#"li":5255#"expPoint":1000}
347,347,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5340#"maximumHealth":42970#"shen":3550#"xin":3540#"li":5270#"expPoint":1000}
348,348,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5355#"maximumHealth":43090#"shen":3560#"xin":3550#"li":5285#"expPoint":1000}
349,349,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5370#"maximumHealth":43210#"shen":3570#"xin":3560#"li":5300#"expPoint":1000}
350,350,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5385#"maximumHealth":43330#"shen":3580#"xin":3570#"li":5315#"expPoint":1000}
351,351,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5400#"maximumHealth":43450#"shen":3590#"xin":3580#"li":5330#"expPoint":1000}
352,352,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5415#"maximumHealth":43570#"shen":3600#"xin":3590#"li":5345#"expPoint":1000}
353,353,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5430#"maximumHealth":43690#"shen":3610#"xin":3600#"li":5360#"expPoint":1000}
354,354,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5445#"maximumHealth":43810#"shen":3620#"xin":3610#"li":5375#"expPoint":1000}
355,355,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5460#"maximumHealth":43930#"shen":3630#"xin":3620#"li":5390#"expPoint":1000}
356,356,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5475#"maximumHealth":44050#"shen":3640#"xin":3630#"li":5405#"expPoint":1000}
357,357,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5490#"maximumHealth":44170#"shen":3650#"xin":3640#"li":5420#"expPoint":1000}
358,358,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5505#"maximumHealth":44290#"shen":3660#"xin":3650#"li":5435#"expPoint":1000}
359,359,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5520#"maximumHealth":44410#"shen":3670#"xin":3660#"li":5450#"expPoint":1000}
360,360,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5535#"maximumHealth":44530#"shen":3680#"xin":3670#"li":5465#"expPoint":1000}
361,361,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5550#"maximumHealth":44650#"shen":3690#"xin":3680#"li":5480#"expPoint":1000}
362,362,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5565#"maximumHealth":44770#"shen":3700#"xin":3690#"li":5495#"expPoint":1000}
363,363,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5580#"maximumHealth":44890#"shen":3710#"xin":3700#"li":5510#"expPoint":1000}
364,364,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5595#"maximumHealth":45010#"shen":3720#"xin":3710#"li":5525#"expPoint":1000}
365,365,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5610#"maximumHealth":45130#"shen":3730#"xin":3720#"li":5540#"expPoint":1000}
366,366,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5625#"maximumHealth":45250#"shen":3740#"xin":3730#"li":5555#"expPoint":1000}
367,367,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5640#"maximumHealth":45370#"shen":3750#"xin":3740#"li":5570#"expPoint":1000}
368,368,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5655#"maximumHealth":45490#"shen":3760#"xin":3750#"li":5585#"expPoint":1000}
369,369,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5670#"maximumHealth":45610#"shen":3770#"xin":3760#"li":5600#"expPoint":1000}
370,370,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5685#"maximumHealth":45730#"shen":3780#"xin":3770#"li":5615#"expPoint":1000}
371,371,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5700#"maximumHealth":45850#"shen":3790#"xin":3780#"li":5630#"expPoint":1000}
372,372,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5715#"maximumHealth":45970#"shen":3800#"xin":3790#"li":5645#"expPoint":1000}
373,373,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5730#"maximumHealth":46090#"shen":3810#"xin":3800#"li":5660#"expPoint":1000}
374,374,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5745#"maximumHealth":46210#"shen":3820#"xin":3810#"li":5675#"expPoint":1000}
375,375,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5760#"maximumHealth":46330#"shen":3830#"xin":3820#"li":5690#"expPoint":1000}
376,376,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5775#"maximumHealth":46450#"shen":3840#"xin":3830#"li":5705#"expPoint":1000}
377,377,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5790#"maximumHealth":46570#"shen":3850#"xin":3840#"li":5720#"expPoint":1000}
378,378,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5805#"maximumHealth":46690#"shen":3860#"xin":3850#"li":5735#"expPoint":1000}
379,379,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5820#"maximumHealth":46810#"shen":3870#"xin":3860#"li":5750#"expPoint":1000}
380,380,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5835#"maximumHealth":46930#"shen":3880#"xin":3870#"li":5765#"expPoint":1000}
381,381,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5850#"maximumHealth":47050#"shen":3890#"xin":3880#"li":5780#"expPoint":1000}
382,382,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5865#"maximumHealth":47170#"shen":3900#"xin":3890#"li":5795#"expPoint":1000}
383,383,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5880#"maximumHealth":47290#"shen":3910#"xin":3900#"li":5810#"expPoint":1000}
384,384,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5895#"maximumHealth":47410#"shen":3920#"xin":3910#"li":5825#"expPoint":1000}
385,385,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5910#"maximumHealth":47530#"shen":3930#"xin":3920#"li":5840#"expPoint":1000}
386,386,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5925#"maximumHealth":47650#"shen":3940#"xin":3930#"li":5855#"expPoint":1000}
387,387,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5940#"maximumHealth":47770#"shen":3950#"xin":3940#"li":5870#"expPoint":1000}
388,388,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5955#"maximumHealth":47890#"shen":3960#"xin":3950#"li":5885#"expPoint":1000}
389,389,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5970#"maximumHealth":48010#"shen":3970#"xin":3960#"li":5900#"expPoint":1000}
390,390,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":5985#"maximumHealth":48130#"shen":3980#"xin":3970#"li":5915#"expPoint":1000}
391,391,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6000#"maximumHealth":48250#"shen":3990#"xin":3980#"li":5930#"expPoint":1000}
392,392,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6015#"maximumHealth":48370#"shen":4000#"xin":3990#"li":5945#"expPoint":1000}
393,393,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6030#"maximumHealth":48490#"shen":4010#"xin":4000#"li":5960#"expPoint":1000}
394,394,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6045#"maximumHealth":48610#"shen":4020#"xin":4010#"li":5975#"expPoint":1000}
395,395,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6060#"maximumHealth":48730#"shen":4030#"xin":4020#"li":5990#"expPoint":1000}
396,396,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6075#"maximumHealth":48850#"shen":4040#"xin":4030#"li":6005#"expPoint":1000}
397,397,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6090#"maximumHealth":48970#"shen":4050#"xin":4040#"li":6020#"expPoint":1000}
398,398,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6105#"maximumHealth":49090#"shen":4060#"xin":4050#"li":6035#"expPoint":1000}
399,399,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6120#"maximumHealth":49210#"shen":4070#"xin":4060#"li":6050#"expPoint":1000}
400,400,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":6135#"maximumHealth":49330#"shen":4080#"xin":4070#"li":6065#"expPoint":1000}
501,1,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":110#"maximumHealth":1330#"shen":70#"xin":90#"li":130#"expPoint":1000}
502,2,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":120#"maximumHealth":1400#"shen":80#"xin":100#"li":160#"expPoint":1000}
503,3,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":130#"maximumHealth":1470#"shen":90#"xin":110#"li":190#"expPoint":1000}
504,4,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":140#"maximumHealth":1540#"shen":100#"xin":120#"li":220#"expPoint":1000}
505,5,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":150#"maximumHealth":1610#"shen":110#"xin":130#"li":250#"expPoint":1000}
506,6,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":160#"maximumHealth":1680#"shen":120#"xin":140#"li":280#"expPoint":1000}
507,7,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":170#"maximumHealth":1750#"shen":130#"xin":150#"li":310#"expPoint":1000}
508,8,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":180#"maximumHealth":1820#"shen":140#"xin":160#"li":340#"expPoint":1000}
509,9,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":190#"maximumHealth":1890#"shen":150#"xin":170#"li":370#"expPoint":1000}
510,10,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":200#"maximumHealth":1960#"shen":160#"xin":180#"li":400#"expPoint":1000}
511,11,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":210#"maximumHealth":2030#"shen":170#"xin":190#"li":430#"expPoint":1000}
512,12,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":220#"maximumHealth":2100#"shen":180#"xin":200#"li":460#"expPoint":1000}
513,13,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":230#"maximumHealth":2170#"shen":190#"xin":210#"li":490#"expPoint":1000}
514,14,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":240#"maximumHealth":2240#"shen":200#"xin":220#"li":520#"expPoint":1000}
515,15,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":250#"maximumHealth":2310#"shen":210#"xin":230#"li":550#"expPoint":1000}
516,16,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":260#"maximumHealth":2380#"shen":220#"xin":240#"li":580#"expPoint":1000}
517,17,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":270#"maximumHealth":2450#"shen":230#"xin":250#"li":610#"expPoint":1000}
518,18,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":280#"maximumHealth":2520#"shen":240#"xin":260#"li":640#"expPoint":1000}
519,19,102#202#312#322#412#422#512#522#612#622#712#722#812#822#912#922,{"maximumMana":1000#"moveSpeed":4000#"ti":290#"maximumHealth":2590#"shen":250#"xin":270#"li":670#"expPoint":1000}
