装备ID,可用职业,可装孔位,孔位类型,进化词条数量,进化词条库随机概率,随机基础属性,附加属性词条数量,附加属性词条库随机概率,隐藏属性词条数量,隐藏属性词条库随机概率,耐久度,装备后存在总时间,宠物受伤减免,致命加成,创建条数与权重,固定卓越词条,能否镶宝,强化特效,是否携带技能,是否携带buff,是否有变身效果,装备修理费,装备评分,套装编号,装备追加最高等级上限,成长所需材料,场景中是否显示模型,自动回收/分解,自动购买箭矢,原地复活,回收江湖币变成非绑定,每日无损复活次数,土灵符存储坐标数,宠物自动喂养,开启宝石仓库,增加经验试炼副本次数,开启装备更换方案,扩展背包格子数,扩展仓库格子数,几阶装备,装备是否可以叠加,装备叠加上限,是否掉落,价格,标记,称号档位,attribute,disableAttribute
2150322,33,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,700,,40,,1,,,,,,,,,,,,,14,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150482,31,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,750,,40,,1,,,,,,,,,,,,,15,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150462,32,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,750,,40,,1,,,,,,,,,,,,,15,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150502,33,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,750,,40,,1,,,,,,,,,,,,,15,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150283,41,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,800,,40,,1,,,,,,,,,,,,,16,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150263,42,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,800,,40,,1,,,,,,,,,,,,,16,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150253,43,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,800,,40,,1,,,,,,,,,,,,,16,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150403,41,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,850,,40,,1,,,,,,,,,,,,,17,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150473,42,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,850,,40,,1,,,,,,,,,,,,,17,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150443,43,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,850,,40,,1,,,,,,,,,,,,,17,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150303,41,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,900,,40,,1,,,,,,,,,,,,,18,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150313,42,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,900,,40,,1,,,,,,,,,,,,,18,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150323,43,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,900,,40,,1,,,,,,,,,,,,,18,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150483,51,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,950,,40,,1,,,,,,,,,,,,,19,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150463,52,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,950,,40,,1,,,,,,,,,,,,,19,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150503,53,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,950,,40,,1,,,,,,,,,,,,,19,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150533,51,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1000,,40,,1,,,,,,,,,,,,,20,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150493,52,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1000,,40,,1,,,,,,,,,,,,,20,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150543,53,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1000,,40,,1,,,,,,,,,,,,,20,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150583,51,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1050,,40,,1,,,,,,,,,,,,,21,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150573,52,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1050,,40,,1,,,,,,,,,,,,,21,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150563,53,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1050,,40,,1,,,,,,,,,,,,,21,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150613,61,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1100,,40,,1,,,,,,,,,,,,,22,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150603,62,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1100,,40,,1,,,,,,,,,,,,,22,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150593,63,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1100,,40,,1,,,,,,,,,,,,,22,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150284,61,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1150,,40,,1,,,,,,,,,,,,,23,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150264,62,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1150,,40,,1,,,,,,,,,,,,,23,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150254,63,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1150,,40,,1,,,,,,,,,,,,,23,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150404,61,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1200,,40,,1,,,,,,,,,,,,,24,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150474,62,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1200,,40,,1,,,,,,,,,,,,,24,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150444,63,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1200,,40,,1,,,,,,,,,,,,,24,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150304,61,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1250,,40,,1,,,,,,,,,,,,,25,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150314,62,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1250,,40,,1,,,,,,,,,,,,,25,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150324,63,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1250,,40,,1,,,,,,,,,,,,,25,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150484,71,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1300,,40,,1,,,,,,,,,,,,,26,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150464,72,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1300,,40,,1,,,,,,,,,,,,,26,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150504,73,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1300,,40,,1,,,,,,,,,,,,,26,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150534,71,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1350,,40,,1,,,,,,,,,,,,,27,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150494,72,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1350,,40,,1,,,,,,,,,,,,,27,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150544,73,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1350,,40,,1,,,,,,,,,,,,,27,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150584,71,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1400,,40,,1,,,,,,,,,,,,,28,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150574,72,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1400,,40,,1,,,,,,,,,,,,,28,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150564,73,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1400,,40,,1,,,,,,,,,,,,,28,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150614,71,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1450,,40,,1,,,,,,,,,,,,,29,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150604,72,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1450,,40,,1,,,,,,,,,,,,,29,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150594,73,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1450,,40,,1,,,,,,,,,,,,,29,,,1,1000,4,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150165,71,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1500,,40,,1,,,,,,,,,,,,,30,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150145,72,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1500,,40,,1,,,,,,,,,,,,,30,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150155,73,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1500,,40,,1,,,,,,,,,,,,,30,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150235,71,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1550,,40,,1,,,,,,,,,,,,,31,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150205,72,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1550,,40,,1,,,,,,,,,,,,,31,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150215,73,9,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,1550,,40,,1,,,,,,,,,,,,,31,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150305,71,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1600,,40,,1,,,,,,,,,,,,,32,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150315,72,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1600,,40,,1,,,,,,,,,,,,,32,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2150325,73,9,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1600,,40,,1,,,,,,,,,,,,,32,,,1,1000,5,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160011,11#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,50,,40,,1,,,,,,,,,,,,,1,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160021,12#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,50,,40,,1,,,,,,,,,,,,,1,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160031,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,50,,40,,1,,,,,,,,,,,,,1,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160041,11#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,100,,40,,1,,,,,,,,,,,,,2,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160061,12#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,150,,40,,1,,,,,,,,,,,,,3,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160051,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,100,,40,,1,,,,,,,,,,,,,2,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160101,11#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,150,,40,,1,,,,,,,,,,,,,3,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160081,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,150,,40,,1,,,,,,,,,,,,,3,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160121,11#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,200,,40,,1,,,,,,,,,,,,,4,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160091,12#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,200,,40,,1,,,,,,,,,,,,,4,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160111,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,200,,40,,1,,,,,,,,,,,,,4,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160161,11#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,250,,40,,1,,,,,,,,,,,,,5,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160141,12#14,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,250,,40,,1,,,,,,,,,,,,,5,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160151,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,250,,40,,1,,,,,,,,,,,,,5,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160191,11,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,300,,40,,1,,,,,,,,,,,,,6,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160361,12,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,300,,40,,1,,,,,,,,,,,,,6,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160371,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,300,,40,,1,,,,,,,,,,,,,6,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160231,11,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,350,,40,,1,,,,,,,,,,,,,7,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160201,12,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,350,,40,,1,,,,,,,,,,,,,7,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160211,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,350,,40,,1,,,,,,,,,,,,,7,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160281,11,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,400,,40,,1,,,,,,,,,,,,,8,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160261,12,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,400,,40,,1,,,,,,,,,,,,,8,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160251,13,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,400,,40,,1,,,,,,,,,,,,,8,,,1,1000,1,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160162,21,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,450,,40,,1,,,,,,,,,,,,,9,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160142,22,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,450,,40,,1,,,,,,,,,,,,,9,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160152,23,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,450,,40,,1,,,,,,,,,,,,,9,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160192,21,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,500,,40,,1,,,,,,,,,,,,,10,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160362,22,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,500,,40,,1,,,,,,,,,,,,,10,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160372,23,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,500,,40,,1,,,,,,,,,,,,,10,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160232,21,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,550,,40,,1,,,,,,,,,,,,,11,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160202,22,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,550,,40,,1,,,,,,,,,,,,,11,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160212,23,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,550,,40,,1,,,,,,,,,,,,,11,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160282,21,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,600,,40,,1,,,,,,,,,,,,,12,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160262,22,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,600,,40,,1,,,,,,,,,,,,,12,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160252,23,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,600,,40,,1,,,,,,,,,,,,,12,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160402,31,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,650,,40,,1,,,,,,,,,,,,,13,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160472,32,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,650,,40,,1,,,,,,,,,,,,,13,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160442,33,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,650,,40,,1,,,,,,,,,,,,,13,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160302,31,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,700,,40,,1,,,,,,,,,,,,,14,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160312,32,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,700,,40,,1,,,,,,,,,,,,,14,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160322,33,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,700,,40,,1,,,,,,,,,,,,,14,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160482,31,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,750,,40,,1,,,,,,,,,,,,,15,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160462,32,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,750,,40,,1,,,,,,,,,,,,,15,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160502,33,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,750,,40,,1,,,,,,,,,,,,,15,,,1,1000,2,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160283,41,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,800,,40,,1,,,,,,,,,,,,,16,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160263,42,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,800,,40,,1,,,,,,,,,,,,,16,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160253,43,8,1,,,,,,,,-9999,-9999,,,,,4,,,,,2,800,,40,,1,,,,,,,,,,,,,16,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160403,41,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,850,,40,,1,,,,,,,,,,,,,17,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160473,42,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,850,,40,,1,,,,,,,,,,,,,17,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160443,43,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,850,,40,,1,,,,,,,,,,,,,17,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160303,41,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,900,,40,,1,,,,,,,,,,,,,18,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160313,42,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,900,,40,,1,,,,,,,,,,,,,18,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160323,43,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,900,,40,,1,,,,,,,,,,,,,18,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160483,51,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,950,,40,,1,,,,,,,,,,,,,19,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160463,52,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,950,,40,,1,,,,,,,,,,,,,19,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160503,53,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,950,,40,,1,,,,,,,,,,,,,19,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160533,51,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1000,,40,,1,,,,,,,,,,,,,20,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160493,52,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1000,,40,,1,,,,,,,,,,,,,20,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160543,53,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1000,,40,,1,,,,,,,,,,,,,20,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160583,51,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1050,,40,,1,,,,,,,,,,,,,21,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160573,52,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1050,,40,,1,,,,,,,,,,,,,21,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2160563,53,8,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,1050,,40,,1,,,,,,,,,,,,,21,,,1,1000,3,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
