技能ID,技能名称,升级经验,技能类型,技能脚本,伤害类型,学习职业,学习等级,魔法消耗,作用目标类型,攻击范围类型,攻击范围,攻速类型,CD时间（重新检查）,僵直时间,技能仇恨值,最大攻击数量,BUFF,子技能,施放距离,显示组别,组别icon,伤害飘字段数,伤害延迟
91671,怪物极光,-1,1,hurt,1,91,,0,1,1,12140100,7,3000,3000,0,99,,,6,,,100,
91681,弓箭手雇佣兵单体,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,6,,,100,
91682,弓箭手雇佣兵范围,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,6,,,100,
91683,圣射手雇佣兵单体,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,6,,,100,
91684,圣射手雇佣兵范围,-1,1,hurt,1,91,,0,1,1,91684,7,3000,3000,0,3,,,6,,,100,
91685,神射手雇佣兵单体,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,6,,,100,
91686,神射手雇佣兵范围,-1,1,hurt,1,91,,0,1,1,91686,7,3000,3000,0,5,916861,,6,,,100,
91711,刽子手,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
91712,刽子手,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,900013,,2,,,100,
91713,刽子手,-1,1,hurt,1,91,,0,1,1,9104,7,10000,3000,0,99,900013#4000103,,5,,,100,
91714,刽子手,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,900013,,2,,,100,
91721,水晶鹿幻影冲撞,-1,1,hurt,1,91,,0,1,1,12210100,7,3000,3000,0,99,4000105#4000107,,5,,,100,
91722,水晶鹿冰封,-1,1,hurt,1,91,,0,1,1,12210100,7,3000,3000,0,99,4000106#4000107,,5,,,100,
91723,水晶鹿,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91724,水晶鹿,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91731,海怪,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
91732,海怪,-1,1,hurt,1,91,,0,1,1,9104,7,10000,3000,0,99,900113#4000104,,5,,,100,
91733,海怪,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,900013,,2,,,100,
91734,海怪,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,900013,,2,,,100,
91741,傲之煞冲击波,-1,1,hurt,1,91,,0,1,1,9103,7,3000,3000,0,99,,,5,,,100,
91742,傲之煞,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91743,傲之煞喷毒,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,5,,,100,
91744,傲之煞,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91751,魅魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91752,魅魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91753,魅魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91754,魅魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91761,泰克图斯,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91762,泰克图斯,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91763,泰克图斯,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91764,泰克图斯,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91781,大恶魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
91782,大恶魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,900013,,5,,,100,
91783,大恶魔,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,900013,,5,,,100,
91784,大恶魔,-1,1,hurt,1,91,,0,1,1,9102,7,10000,3000,0,99,900013#4000101,,5,,,100,
91791,大天使挥砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
91792,大天使蓄力挥砍,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,900013,,5,,,100,
91793,大天使举剑,-1,1,hurt,1,91,,0,1,1,9104,7,3000,3000,0,99,900013,,5,,,100,
91794,大天使剑插地,-1,1,hurt,1,91,,0,1,1,9104,7,10000,3000,0,99,900113#4000102,,5,,,100,
91831,审判者,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91832,审判者,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91833,审判者,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91834,审判者,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
91841,长枪守卫,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
91842,长枪守卫,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
91871,蓝晶守卫,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,3,,,100,
91872,蓝晶守卫,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,3,,,100,
91881,幽灵暗杀者,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,3,,,100,
91882,幽灵暗杀者,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,3,,,100,
91921,毁灭战士,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
91922,毁灭战士,-1,1,hurt,1,91,,0,1,1,9104,7,3000,3000,0,99,,,5,,,100,
91931,邪能巫师,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
91932,邪能巫师,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
91941,潘神女巫,-1,1,hurt,1,91,,0,1,1,9103,7,3000,3000,0,99,,,3,,,100,
91942,潘神女巫,-1,1,hurt,1,91,,0,1,1,9103,7,3000,3000,0,99,,,3,,,100,
91991,毁灭摧城者普攻,-1,1,hurt,1,91,,0,1,1,9101,7,3000,3000,0,1,,,3,,,100,
91992,毁灭摧城者技能,-1,1,hurt,1,91,,0,1,1,11100100,7,15000,3000,0,99,4000108,,3,,,100,
91993,怒海摧城者普攻,-1,1,hurt,1,91,,0,1,1,9101,7,3000,3000,0,1,,,3,,,100,
91994,怒海摧城者技能,-1,1,hurt,1,91,,0,1,1,11100100,7,10000,3000,0,99,4000109,,3,,,100,
92001,邪恶女王,-1,1,hurt,1,91,,0,1,1,9103,7,3000,3000,0,99,,,5,,,100,
92002,邪恶女王,-1,1,hurt,1,91,,0,1,1,9103,7,3000,3000,0,99,,,5,,,100,
92011,虚空魔武士普攻,-1,1,hurt,1,91,,0,1,1,9101,7,3000,3000,0,1,,,5,,,100,
92012,虚空魔武士技能,-1,1,hurt,1,91,,0,1,1,11100100,7,10000,3000,0,99,4000101,,5,,,100,
92013,血骸魔武士普攻,-1,1,hurt,1,91,,0,1,1,9101,7,3000,3000,0,1,,,5,,,100,
92014,血骸魔武士技能,-1,1,hurt,1,91,,0,1,1,11100100,7,15000,3000,0,99,4000110,,5,,,100,
92021,狂怒战士技能,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,2,,,100,
92022,狂怒战士普攻,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,1,,,2,,,100,
92023,终末之龙,-1,1,hurt,1,91,,0,1,1,,7,3000,3000,0,1,1324002,,5,,,100,
92024,终末之龙,-1,1,hurt,1,91,,0,1,1,9101,7,10000,3000,0,10,1324002,,5,,,100,
92025,终末之龙,-1,1,hurt,1,91,,0,1,1,11100100,7,10000,3000,0,99,1324002#1324003,,5,,,100,
93001,尖刺爪牙攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
93002,兽人弓箭手攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,8,,,100,
93003,独角巨怪攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
93004,深渊戈登普攻,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,4,,,100,
93005,深渊戈登反弹,-1,1,hurt,1,91,,0,2,0,,7,15000,3000,0,1,93005,,5,,,100,
93006,炎域假面巫普攻,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
93007,炎域假面巫燃烧攻击,-1,1,hurt,1,91,,0,1,1,11070100,7,10000,3000,0,99,93007,,4,,,100,
93008,冰霜召唤者普攻冰冻+额外伤害,-1,1,hurt,1,91,,0,1,1,11100100,7,3000,3000,0,99,,,4,,,100,
93009,冰霜召唤者全屏技能,-1,1,hurt,1,91,,0,1,1,11100100,7,10000,3000,0,99,,,5,,,100,
99921,测试怪攻击1,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
99922,测试怪攻击2,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
207111,远程动作1单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207112,远程动作1单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207113,远程动作1单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207114,远程动作1单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207121,远程动作1公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207122,远程动作1公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207123,远程动作1公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207124,远程动作1公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207211,远程动作2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207212,远程动作2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207213,远程动作2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207214,远程动作2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207221,远程动作2公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207222,远程动作2公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207223,远程动作2公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207224,远程动作2公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207311,远程动作3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207312,远程动作3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207313,远程动作3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207314,远程动作3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207321,远程动作3公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207322,远程动作3公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207323,远程动作3公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207324,远程动作3公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207411,远程动作4单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207412,远程动作4单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207413,远程动作4单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207414,远程动作4单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207421,远程动作4公cd3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207422,远程动作4公cd3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207423,远程动作4公cd3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
207424,远程动作4公cd3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,5,,,100,
208111,近战动作1单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208112,近战动作1单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208113,近战动作1单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208114,近战动作1单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208121,近战动作1公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208122,近战动作1公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208123,近战动作1公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208124,近战动作1公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208211,近战动作2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208212,近战动作2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208213,近战动作2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208214,近战动作2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208221,近战动作2公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208222,近战动作2公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208223,近战动作2公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208224,近战动作2公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208311,近战动作3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208312,近战动作3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208313,近战动作3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208314,近战动作3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208321,近战动作3公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208322,近战动作3公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208323,近战动作3公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208324,近战动作3公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208411,近战动作4单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208412,近战动作4单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208413,近战动作4单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208414,近战动作4单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208421,近战动作4公cd3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208422,近战动作4公cd3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208423,近战动作4公cd3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
208424,近战动作4公cd3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290011,牛怪劈砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290012,牛怪吼叫,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290013,蛮牛怪劈砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290014,蛮牛怪吼叫,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290015,毒牛怪劈砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290016,毒牛怪吼叫,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290021,猎犬怪劈砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290022,猎犬怪侧劈,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290023,地狱猎犬怪,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290024,地狱猎犬怪,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290031,小火龙喷火（特效）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290032,小火龙攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290041,黑暗骑士拔剑,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290042,黑暗骑士侧劈,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290051,黑巫师陨石术（特效）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290052,黑巫师陨石术（特效）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290053,死灵巫师闪电链（位移）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290054,死灵巫师闪电链（位移）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290061,巨人挥砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290062,巨人撩砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290071,毒虫攻击（中毒）,-1,1,hurt,2,91,,0,1,0,,7,3000,3000,0,1,2004002,,1,,,100,
290072,毒虫攻击（中毒）,-1,1,hurt,2,91,,0,1,0,,7,3000,3000,0,1,2004002,,1,,,100,
290081,幽灵攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290082,幽灵攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290091,地狱蜘蛛真空波（特效）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290092,地狱蜘蛛真空波（特效）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290101,蜘蛛攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290102,蜘蛛攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290111,独眼巨人挥砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290112,独眼巨人侧劈,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290121,魔鬼戈登龙卷风,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
290122,魔鬼戈登闪电链,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290131,雪人双手扔球（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290132,雪人单手扔球（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290141,雪人王攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290142,雪人王攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290151,暗杀者双手攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290152,暗杀者单手攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290161,寒冰魔攻击（冰冻）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290162,寒冰魔攻击（冰冻）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290171,蓝魔怪侧劈,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290172,蓝魔怪重击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290181,雪虫攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290182,雪虫攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
290191,冰后三重真空波（特效）,-1,1,hurt,1,91,,0,1,1,9101,7,3000,3000,0,99,,,5,,,100,
290192,冰后三重真空波（特效）,-1,1,hurt,1,91,,0,1,1,9101,7,3000,3000,0,99,,,5,,,100,
290201,小哥布林劈砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290202,小哥布林侧劈,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290203,大哥布林劈砍,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290204,大哥布林侧劈,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290211,勾尾蝎攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290212,勾尾蝎攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290221,瓢虫突刺,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290222,瓢虫突刺,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290231,偷猎者射击（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290232,偷猎者射击（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290241,树妖攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290242,树妖攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290251,亚昆右手攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290252,亚昆左手攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290261,石巨人凿击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290262,石巨人拳击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290271,恶魔红色掌心雷（未做特效）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290272,恶魔红色掌心雷,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290281,魔王巴洛克地裂陨石术,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,5,,,100,
290282,魔王巴洛克劈砍,-1,1,hurt,1,91,,0,1,1,9105,7,3000,3000,0,99,,,5,,,100,
290291,鬼魅攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290292,鬼魅攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290301,死神骑士攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290302,死神骑士攻击,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290311,牛魔王砸,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290312,牛魔王摇头,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290321,火龙王喷火,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,900012,,5,,,100,
290322,火龙王摇头,-1,1,hurt,1,91,,0,1,1,9103,7,3000,3000,0,99,900012,,2,,,100,
290323,火龙王飞行,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290331,守护兽巴里右勾拳,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290332,守护兽巴里左勾拳,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290333,守护兽巴里站立,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290334,守护兽巴里侧踢,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290341,小巴哈姆特,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290342,小巴哈姆特,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290343,大巴哈姆特,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290344,大巴哈姆特,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290351,死亡美人鱼死亡光线,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,4,,,100,
290352,死亡美人鱼死亡光线,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,4,,,100,
290361,蓝翼海怪射击（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290362,蓝翼海怪射击（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290363,银弓海怪射击（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290364,银弓海怪射击（子弹）,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,3,,,100,
290371,巫师王红色密集闪电,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290372,巫师王红色密集闪电,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
290381,海魔希特拉激光炮,-1,1,hurt,1,91,,0,1,1,9100,7,3000,3000,0,99,,,5,,,100,
290382,海魔希特拉范围光柱,-1,1,hurt,1,91,,0,1,1,9104,7,3000,3000,0,99,,,5,,,100,
290391,海虫咬人,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,2,,,100,
