地图编号,地图目录,地图名称,地图进入条件,地图类型,配置文件,地图宽度,地图高度,地图分组,后端分线,开放条件,对应假地图副本,该地图是否可作为返回地图，是否可使用传送符,所用服务器类型,复活坐标,复活cd,复活面板组成,是否可使用连击技,刷新key,角色是否可以重叠,是否安全区能回血回蓝,召唤生效规则,是否支持飞行卷轴使用,是否安全区能回泡点经验,是否接收血色恶魔匹配请求,是否接受被击杀邮件,地图产出绑定天数,客户端判断不过提示,地图是否废弃,是否安全地图,杀人是否增加PK值,地图经验加成,进入地图公告,小地图是否显示boss复活时间,是否支持传送卷轴使用,商业化活动开启时间,活动地图经验加成,地图是否允许组队,是否需要有时间才能进入,角色受击反击是否生效
209142,209142,神兵塔42层,101#1&4801#41,2,20900,64,64,209142,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209143,209143,神兵塔43层,101#1&4801#42,2,20900,64,64,209143,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209144,209144,神兵塔44层,101#1&4801#43,2,20900,64,64,209144,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209145,209145,神兵塔45层,101#1&4801#44,2,20900,64,64,209145,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209146,209146,神兵塔46层,101#1&4801#45,2,20900,64,64,209146,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209147,209147,神兵塔47层,101#1&4801#46,2,20900,64,64,209147,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209148,209148,神兵塔48层,101#1&4801#47,2,20900,64,64,209148,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209149,209149,神兵塔49层,101#1&4801#48,2,20900,64,64,209149,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209150,209150,神兵塔50层,101#1&4801#49,2,20900,64,64,209150,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209151,209151,神兵塔51层,101#1&4801#50,2,20900,64,64,209151,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209152,209152,神兵塔52层,101#1&4801#51,2,20900,64,64,209152,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209153,209153,神兵塔53层,101#1&4801#52,2,20900,64,64,209153,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209154,209154,神兵塔54层,101#1&4801#53,2,20900,64,64,209154,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209155,209155,神兵塔55层,101#1&4801#54,2,20900,64,64,209155,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209156,209156,神兵塔56层,101#1&4801#55,2,20900,64,64,209156,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209157,209157,神兵塔57层,101#1&4801#56,2,20900,64,64,209157,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209158,209158,神兵塔58层,101#1&4801#57,2,20900,64,64,209158,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209159,209159,神兵塔59层,101#1&4801#58,2,20900,64,64,209159,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209160,209160,神兵塔60层,101#1&4801#59,2,20900,64,64,209160,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209161,209161,神兵塔61层,101#1&4801#60,2,20900,64,64,209161,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209162,209162,神兵塔62层,101#1&4801#61,2,20900,64,64,209162,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209163,209163,神兵塔63层,101#1&4801#62,2,20900,64,64,209163,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209164,209164,神兵塔64层,101#1&4801#63,2,20900,64,64,209164,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209165,209165,神兵塔65层,101#1&4801#64,2,20900,64,64,209165,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209166,209166,神兵塔66层,101#1&4801#65,2,20900,64,64,209166,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209167,209167,神兵塔67层,101#1&4801#66,2,20900,64,64,209167,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209168,209168,神兵塔68层,101#1&4801#67,2,20900,64,64,209168,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209169,209169,神兵塔69层,101#1&4801#68,2,20900,64,64,209169,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209170,209170,神兵塔70层,101#1&4801#69,2,20900,64,64,209170,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209171,209171,神兵塔71层,101#1&4801#70,2,20900,64,64,209171,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209172,209172,神兵塔72层,101#1&4801#71,2,20900,64,64,209172,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209173,209173,神兵塔73层,101#1&4801#72,2,20900,64,64,209173,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209174,209174,神兵塔74层,101#1&4801#73,2,20900,64,64,209174,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209175,209175,神兵塔75层,101#1&4801#74,2,20900,64,64,209175,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209176,209176,神兵塔76层,101#1&4801#75,2,20900,64,64,209176,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209177,209177,神兵塔77层,101#1&4801#76,2,20900,64,64,209177,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209178,209178,神兵塔78层,101#1&4801#77,2,20900,64,64,209178,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209179,209179,神兵塔79层,101#1&4801#78,2,20900,64,64,209179,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209180,209180,神兵塔80层,101#1&4801#79,2,20900,64,64,209180,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209181,209181,神兵塔81层,101#1&4801#80,2,20900,64,64,209181,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209182,209182,神兵塔82层,101#1&4801#81,2,20900,64,64,209182,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209183,209183,神兵塔83层,101#1&4801#82,2,20900,64,64,209183,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209184,209184,神兵塔84层,101#1&4801#83,2,20900,64,64,209184,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209185,209185,神兵塔85层,101#1&4801#84,2,20900,64,64,209185,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209186,209186,神兵塔86层,101#1&4801#85,2,20900,64,64,209186,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209187,209187,神兵塔87层,101#1&4801#86,2,20900,64,64,209187,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209188,209188,神兵塔88层,101#1&4801#87,2,20900,64,64,209188,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209189,209189,神兵塔89层,101#1&4801#88,2,20900,64,64,209189,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209190,209190,神兵塔90层,101#1&4801#89,2,20900,64,64,209190,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209191,209191,神兵塔91层,101#1&4801#90,2,20900,64,64,209191,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209192,209192,神兵塔92层,101#1&4801#91,2,20900,64,64,209192,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209193,209193,神兵塔93层,101#1&4801#92,2,20900,64,64,209193,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209194,209194,神兵塔94层,101#1&4801#93,2,20900,64,64,209194,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209195,209195,神兵塔95层,101#1&4801#94,2,20900,64,64,209195,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209196,209196,神兵塔96层,101#1&4801#95,2,20900,64,64,209196,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209197,209197,神兵塔97层,101#1&4801#96,2,20900,64,64,209197,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209198,209198,神兵塔98层,101#1&4801#97,2,20900,64,64,209198,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209199,209199,神兵塔99层,101#1&4801#98,2,20900,64,64,209199,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209200,209200,神兵塔100层,101#1&4801#99,2,20900,64,64,209200,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
210001,210001,四象神殿1层,101#80,2,208,99,99,210001,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210002,210002,四象神殿2层,5301#1,2,208,99,99,210002,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210003,210003,四象神殿3层,5301#2,2,208,99,99,210003,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210004,210004,四象神殿4层,5301#4,2,208,99,99,210004,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210005,210005,四象神殿5层,5301#6,2,208,99,99,210005,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210006,210006,四象神殿6层,5301#8,2,208,99,99,210006,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210007,210007,四象神殿7层,5301#10,2,208,99,99,210007,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210008,210008,四象神殿8层,5301#12,2,208,99,99,210008,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210009,210009,四象神殿9层,5301#14,2,208,99,99,210009,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210010,210010,四象神殿10层,5301#16,2,208,99,99,210010,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210011,210011,四象神殿11层,5301#18,2,208,99,99,210011,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210012,210012,四象神殿12层,5301#20,2,208,99,99,210012,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210013,210013,四象神殿13层,5301#22,2,208,99,99,210013,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210014,210014,四象神殿14层,5301#24,2,208,99,99,210014,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210015,210015,四象神殿15层,5301#26,2,208,99,99,210015,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210016,210016,四象神殿16层,5301#28,2,208,99,99,210016,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210017,210017,四象神殿17层,5301#30,2,208,99,99,210017,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210018,210018,四象神殿18层,5301#32,2,208,99,99,210018,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210019,210019,四象神殿19层,5301#34,2,208,99,99,210019,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210020,210020,四象神殿20层,5301#36,2,208,99,99,210020,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210021,210021,四象神殿21层,5301#38,2,208,99,99,210021,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210022,210022,四象神殿22层,5301#40,2,208,99,99,210022,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210023,210023,四象神殿23层,5301#42,2,208,99,99,210023,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210024,210024,四象神殿24层,5301#44,2,208,99,99,210024,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
210025,210025,四象神殿25层,5301#46,2,208,99,99,210025,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211001,211001,四象神殿1层,101#80,2,208,99,99,211001,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211002,211002,四象神殿2层,5301#1,2,208,99,99,211002,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211003,211003,四象神殿3层,5301#2,2,208,99,99,211003,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211004,211004,四象神殿4层,5301#4,2,208,99,99,211004,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211005,211005,四象神殿5层,5301#6,2,208,99,99,211005,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211006,211006,四象神殿6层,5301#8,2,208,99,99,211006,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211007,211007,四象神殿7层,5301#10,2,208,99,99,211007,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211008,211008,四象神殿8层,5301#12,2,208,99,99,211008,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211009,211009,四象神殿9层,5301#14,2,208,99,99,211009,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211010,211010,四象神殿10层,5301#16,2,208,99,99,211010,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211011,211011,四象神殿11层,5301#18,2,208,99,99,211011,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211012,211012,四象神殿12层,5301#20,2,208,99,99,211012,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211013,211013,四象神殿13层,5301#22,2,208,99,99,211013,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211014,211014,四象神殿14层,5301#24,2,208,99,99,211014,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211015,211015,四象神殿15层,5301#26,2,208,99,99,211015,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211016,211016,四象神殿16层,5301#28,2,208,99,99,211016,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211017,211017,四象神殿17层,5301#30,2,208,99,99,211017,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211018,211018,四象神殿18层,5301#32,2,208,99,99,211018,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211019,211019,四象神殿19层,5301#34,2,208,99,99,211019,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211020,211020,四象神殿20层,5301#36,2,208,99,99,211020,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211021,211021,四象神殿21层,5301#38,2,208,99,99,211021,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211022,211022,四象神殿22层,5301#40,2,208,99,99,211022,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211023,211023,四象神殿23层,5301#42,2,208,99,99,211023,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211024,211024,四象神殿24层,5301#44,2,208,99,99,211024,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
211025,211025,四象神殿25层,5301#46,2,208,99,99,211025,1,,,1,1,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212001,212001,四象神殿1层[跨],101#80,2,208,99,99,212001,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212002,212002,四象神殿2层[跨],5301#1,2,208,99,99,212002,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212003,212003,四象神殿3层[跨],5301#2,2,208,99,99,212003,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212004,212004,四象神殿4层[跨],5301#4,2,208,99,99,212004,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212005,212005,四象神殿5层[跨],5301#6,2,208,99,99,212005,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212006,212006,四象神殿6层[跨],5301#8,2,208,99,99,212006,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212007,212007,四象神殿7层[跨],5301#10,2,208,99,99,212007,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212008,212008,四象神殿8层[跨],5301#12,2,208,99,99,212008,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212009,212009,四象神殿9层[跨],5301#14,2,208,99,99,212009,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212010,212010,四象神殿10层[跨],5301#16,2,208,99,99,212010,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212011,212011,四象神殿11层[跨],5301#18,2,208,99,99,212011,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212012,212012,四象神殿12层[跨],5301#20,2,208,99,99,212012,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212013,212013,四象神殿13层[跨],5301#22,2,208,99,99,212013,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212014,212014,四象神殿14层[跨],5301#24,2,208,99,99,212014,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212015,212015,四象神殿15层[跨],5301#26,2,208,99,99,212015,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212016,212016,四象神殿16层[跨],5301#28,2,208,99,99,212016,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212017,212017,四象神殿17层[跨],5301#30,2,208,99,99,212017,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212018,212018,四象神殿18层[跨],5301#32,2,208,99,99,212018,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212019,212019,四象神殿19层[跨],5301#34,2,208,99,99,212019,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212020,212020,四象神殿20层[跨],5301#36,2,208,99,99,212020,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212021,212021,四象神殿21层[跨],5301#38,2,208,99,99,212021,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212022,212022,四象神殿22层[跨],5301#40,2,208,99,99,212022,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212023,212023,四象神殿23层[跨],5301#42,2,208,99,99,212023,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212024,212024,四象神殿24层[跨],5301#44,2,208,99,99,212024,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
212025,212025,四象神殿25层[跨],5301#46,2,208,99,99,212025,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213001,213001,四象神殿1层[跨],101#80,2,208,99,99,213001,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213002,213002,四象神殿2层[跨],5301#1,2,208,99,99,213002,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213003,213003,四象神殿3层[跨],5301#2,2,208,99,99,213003,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213004,213004,四象神殿4层[跨],5301#4,2,208,99,99,213004,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213005,213005,四象神殿5层[跨],5301#6,2,208,99,99,213005,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213006,213006,四象神殿6层[跨],5301#8,2,208,99,99,213006,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213007,213007,四象神殿7层[跨],5301#10,2,208,99,99,213007,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213008,213008,四象神殿8层[跨],5301#12,2,208,99,99,213008,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213009,213009,四象神殿9层[跨],5301#14,2,208,99,99,213009,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213010,213010,四象神殿10层[跨],5301#16,2,208,99,99,213010,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213011,213011,四象神殿11层[跨],5301#18,2,208,99,99,213011,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213012,213012,四象神殿12层[跨],5301#20,2,208,99,99,213012,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213013,213013,四象神殿13层[跨],5301#22,2,208,99,99,213013,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213014,213014,四象神殿14层[跨],5301#24,2,208,99,99,213014,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213015,213015,四象神殿15层[跨],5301#26,2,208,99,99,213015,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213016,213016,四象神殿16层[跨],5301#28,2,208,99,99,213016,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213017,213017,四象神殿17层[跨],5301#30,2,208,99,99,213017,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213018,213018,四象神殿18层[跨],5301#32,2,208,99,99,213018,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213019,213019,四象神殿19层[跨],5301#34,2,208,99,99,213019,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213020,213020,四象神殿20层[跨],5301#36,2,208,99,99,213020,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213021,213021,四象神殿21层[跨],5301#38,2,208,99,99,213021,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213022,213022,四象神殿22层[跨],5301#40,2,208,99,99,213022,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213023,213023,四象神殿23层[跨],5301#42,2,208,99,99,213023,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213024,213024,四象神殿24层[跨],5301#44,2,208,99,99,213024,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
213025,213025,四象神殿25层[跨],5301#46,2,208,99,99,213025,1,,,1,2,101#195#281,0,1#17,0,,,,,,,1,,,,,,,,,,,,,1,,
208001,208001,武斗巅峰擂台,101#1,2,20803,99,99,208001,0,,,1,1,101#195#281,0,,0,9230001,,,,,,1,1,,,,,,,,,1,,,1,,1
216,216,圣地[福利],101#1&908#06:00-22:00,2,216,146,137,216,0,,,1,1,101#195#281,0,1#17,1,9200001,1,1,1#2,,1,,,0,,,0,,,,1,,,,,,
216001,216001,秘境1层,101#1&908#11:00-23:59,2,216001,146,137,216001,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216002,216002,秘境2层,5603#1&908#11:00-23:59,2,216002,146,137,216002,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216003,216003,秘境3层,5603#2&908#11:00-23:59,2,216003,146,137,216003,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216004,216004,秘境4层,5603#3&908#11:00-23:59,2,216004,146,137,216004,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216005,216005,秘境5层,5603#4&908#11:00-23:59,2,216005,146,137,216005,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216006,216006,秘境6层,5603#5&908#11:00-23:59,2,216006,146,137,216006,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216007,216007,秘境7层,5603#6&908#11:00-23:59,2,216007,146,137,216007,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
216008,216008,秘境8层,5603#7&908#11:00-23:59,2,216008,146,137,216008,1,,,1,1,101#195#281,0,1#17,1,,1,1,1#2,,1,,,0,,,0,1,,,1,,,,,,
