BUFFid,BUFF名称,BUFF类型,BUFF子类型,BUFF参数,BUFF参数2,BUFF参数3,触发时机,首次执行延迟,执行间隔,消除类型,执行对象,是否可共存,优先级,持续时间参数,BUFF属性,buff群,该buff无法覆盖,BUFF属性组,buff描述,进试炼塔是否清除该buff,buff伤害是否独立飘数字,buff效果文字飘字,战力值
201250060,无坚不摧Lv.60,1,126,,,,0,0,0,1#3,1,201250001,60,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>12.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250061,无坚不摧Lv.61,1,126,,,,0,0,0,1#3,1,201250001,61,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>12.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250062,无坚不摧Lv.62,1,126,,,,0,0,0,1#3,1,201250001,62,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>12.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250063,无坚不摧Lv.63,1,126,,,,0,0,0,1#3,1,201250001,63,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>12.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250064,无坚不摧Lv.64,1,126,,,,0,0,0,1#3,1,201250001,64,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>12.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250065,无坚不摧Lv.65,1,126,,,,0,0,0,1#3,1,201250001,65,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>13.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250066,无坚不摧Lv.66,1,126,,,,0,0,0,1#3,1,201250001,66,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>13.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250067,无坚不摧Lv.67,1,126,,,,0,0,0,1#3,1,201250001,67,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>13.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250068,无坚不摧Lv.68,1,126,,,,0,0,0,1#3,1,201250001,68,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>13.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250069,无坚不摧Lv.69,1,126,,,,0,0,0,1#3,1,201250001,69,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>13.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250070,无坚不摧Lv.70,1,126,,,,0,0,0,1#3,1,201250001,70,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>14.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250071,无坚不摧Lv.71,1,126,,,,0,0,0,1#3,1,201250001,71,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>14.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250072,无坚不摧Lv.72,1,126,,,,0,0,0,1#3,1,201250001,72,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>14.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250073,无坚不摧Lv.73,1,126,,,,0,0,0,1#3,1,201250001,73,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>14.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250074,无坚不摧Lv.74,1,126,,,,0,0,0,1#3,1,201250001,74,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>14.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250075,无坚不摧Lv.75,1,126,,,,0,0,0,1#3,1,201250001,75,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>15.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250076,无坚不摧Lv.76,1,126,,,,0,0,0,1#3,1,201250001,76,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>15.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250077,无坚不摧Lv.77,1,126,,,,0,0,0,1#3,1,201250001,77,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>15.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250078,无坚不摧Lv.78,1,126,,,,0,0,0,1#3,1,201250001,78,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>15.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250079,无坚不摧Lv.79,1,126,,,,0,0,0,1#3,1,201250001,79,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>15.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250080,无坚不摧Lv.80,1,126,,,,0,0,0,1#3,1,201250001,80,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>16.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250081,无坚不摧Lv.81,1,126,,,,0,0,0,1#3,1,201250001,81,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>16.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250082,无坚不摧Lv.82,1,126,,,,0,0,0,1#3,1,201250001,82,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>16.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250083,无坚不摧Lv.83,1,126,,,,0,0,0,1#3,1,201250001,83,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>16.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250084,无坚不摧Lv.84,1,126,,,,0,0,0,1#3,1,201250001,84,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>16.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250085,无坚不摧Lv.85,1,126,,,,0,0,0,1#3,1,201250001,85,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>17.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250086,无坚不摧Lv.86,1,126,,,,0,0,0,1#3,1,201250001,86,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>17.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250087,无坚不摧Lv.87,1,126,,,,0,0,0,1#3,1,201250001,87,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>17.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250088,无坚不摧Lv.88,1,126,,,,0,0,0,1#3,1,201250001,88,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>17.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250089,无坚不摧Lv.89,1,126,,,,0,0,0,1#3,1,201250001,89,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>17.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250090,无坚不摧Lv.90,1,126,,,,0,0,0,1#3,1,201250001,90,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>18.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250091,无坚不摧Lv.91,1,126,,,,0,0,0,1#3,1,201250001,91,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>18.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250092,无坚不摧Lv.92,1,126,,,,0,0,0,1#3,1,201250001,92,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>18.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250093,无坚不摧Lv.93,1,126,,,,0,0,0,1#3,1,201250001,93,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>18.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250094,无坚不摧Lv.94,1,126,,,,0,0,0,1#3,1,201250001,94,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>18.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250095,无坚不摧Lv.95,1,126,,,,0,0,0,1#3,1,201250001,95,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>19.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250096,无坚不摧Lv.96,1,126,,,,0,0,0,1#3,1,201250001,96,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>19.2%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250097,无坚不摧Lv.97,1,126,,,,0,0,0,1#3,1,201250001,97,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>19.4%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250098,无坚不摧Lv.98,1,126,,,,0,0,0,1#3,1,201250001,98,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>19.6%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250099,无坚不摧Lv.99,1,126,,,,0,0,0,1#3,1,201250001,99,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>19.8%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201250100,无坚不摧Lv.100,1,126,,,,0,0,0,1#3,1,201250001,100,5000,,,,{"defenseBase_mul":5000},<color=#00ff00>20.0%</color>几率降低目标<color=#00ff00>50%</color>防御,,,,
201260001,乘胜追击Lv.1,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,10#20,,0,0,0,13,5,201260001,1,,,,,{"moveSpeed_mul":0},,,,,
201260002,乘胜追击Lv.2,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,20#40,,0,0,0,13,5,201260001,2,,,,,{"moveSpeed_mul":0},,,,,
201260003,乘胜追击Lv.3,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,30#60,,0,0,0,13,5,201260001,3,,,,,{"moveSpeed_mul":0},,,,,
201260004,乘胜追击Lv.4,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,40#80,,0,0,0,13,5,201260001,4,,,,,{"moveSpeed_mul":0},,,,,
201260005,乘胜追击Lv.5,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,50#100,,0,0,0,13,5,201260001,5,,,,,{"moveSpeed_mul":0},,,,,
201260006,乘胜追击Lv.6,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,60#120,,0,0,0,13,5,201260001,6,,,,,{"moveSpeed_mul":0},,,,,
201260007,乘胜追击Lv.7,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,70#140,,0,0,0,13,5,201260001,7,,,,,{"moveSpeed_mul":0},,,,,
201260008,乘胜追击Lv.8,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,80#160,,0,0,0,13,5,201260001,8,,,,,{"moveSpeed_mul":0},,,,,
201260009,乘胜追击Lv.9,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,90#180,,0,0,0,13,5,201260001,9,,,,,{"moveSpeed_mul":0},,,,,
201260010,乘胜追击Lv.10,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,100#200,,0,0,0,13,5,201260001,10,,,,,{"moveSpeed_mul":0},,,,,
201260011,乘胜追击Lv.11,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,110#220,,0,0,0,13,5,201260001,11,,,,,{"moveSpeed_mul":0},,,,,
201260012,乘胜追击Lv.12,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,120#240,,0,0,0,13,5,201260001,12,,,,,{"moveSpeed_mul":0},,,,,
201260013,乘胜追击Lv.13,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,130#260,,0,0,0,13,5,201260001,13,,,,,{"moveSpeed_mul":0},,,,,
201260014,乘胜追击Lv.14,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,140#280,,0,0,0,13,5,201260001,14,,,,,{"moveSpeed_mul":0},,,,,
201260015,乘胜追击Lv.15,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,150#300,,0,0,0,13,5,201260001,15,,,,,{"moveSpeed_mul":0},,,,,
201260016,乘胜追击Lv.16,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,160#320,,0,0,0,13,5,201260001,16,,,,,{"moveSpeed_mul":0},,,,,
201260017,乘胜追击Lv.17,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,170#340,,0,0,0,13,5,201260001,17,,,,,{"moveSpeed_mul":0},,,,,
201260018,乘胜追击Lv.18,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,180#360,,0,0,0,13,5,201260001,18,,,,,{"moveSpeed_mul":0},,,,,
201260019,乘胜追击Lv.19,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,190#380,,0,0,0,13,5,201260001,19,,,,,{"moveSpeed_mul":0},,,,,
201260020,乘胜追击Lv.20,16,1606,201240001#201240002#201240003#201240004#201240005#201240006#201240007#201240008#201240009#201240010#201240011#201240012#201240013#201240014#201240015#201240016#201240017#201240018#201240019#201240020#201240021#201240022#201240023#201240024#201240025#201240026#201240027#201240028#201240029#201240030#201240031#201240032#201240033#201240034#201240035#201240036#201240037#201240038#201240039#201240040#201240041#201240042#201240043#201240044#201240045#201240046#201240047#201240048#201240049#201240050#201240051#201240052#201240053#201240054#201240055#201240056#201240057#201240058#201240059#201240060#201240061#201240062#201240063#201240064#201240065#201240066#201240067#201240068#201240069#201240070#201240071#201240072#201240073#201240074#201240075#201240076#201240077#201240078#201240079#201240080#201240081#201240082#201240083#201240084#201240085#201240086#201240087#201240088#201240089#201240090#201240091#201240092#201240093#201240094#201240095#201240096#201240097#201240098#201240099#201240100,200#400,,0,0,0,13,5,201260001,20,,,,,{"moveSpeed_mul":0},,,,,
