ID,标识物品废弃,道具名称,图标,道具类型,子类型,X轴,Y轴,使用条件201&$M$2&O7&$P$2&101&$M$2&P7&$P$2&301&$M$2&Q7&$P$2&401&$M$2&R7&$P$2&501&$M$2&S7,可用职业,可用性别,需要等级,阵营要求,特殊归属保护时间,品质,聊天颜色显示,tips颜色显示,战斗力,是否绑定,堆叠数量,使用效果,道具参数,自动使用,使用cd,共用CD组,使用次数,获取次数,拾取次数,整理排序,售价,回收额外获得,捐献贡献,是否可以销毁,拍卖行底价,物品使用条件（服务器）,是否会掉落,服务器日志（记录物品的来源和去向）,掉落日志,道具有效时间,对应非绑定道具id,是否拍卖,价格限制,是否获得即使用,离开副本后道具状态,拍卖公示时间,最小上架数量,推荐价格,竞价幅度,时装标示,死亡购买使用道具,交易行购买后是否变为绑定,日志记录,未拾取邮件补发物品标记,是否可存入仓库,时装系列
31003603,,大天使之护靴3D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31003604,,大天使之护靴4D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31003605,,大天使之护靴5D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31003606,,大天使之护靴6D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31003607,,大天使之护靴7D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101001,,神铸之剑,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101002,,神铸之剑2D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101003,,神铸之剑3D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101004,,神铸之剑4D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101005,,神铸之剑5D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101006,,神铸之剑6D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101007,,神铸之剑7D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101101,,神铸之杖,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101102,,神铸之杖2D,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101103,,神铸之杖3D,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101104,,神铸之杖4D,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101105,,神铸之杖5D,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101106,,神铸之杖6D,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101107,,神铸之杖7D,2010010,2,7,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101201,,神铸之弓,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101202,,神铸之弓2D,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101203,,神铸之弓3D,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101204,,神铸之弓4D,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101205,,神铸之弓5D,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101206,,神铸之弓6D,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101207,,神铸之弓7D,2010010,2,9,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101801,,神铸魔剑,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101802,,神铸魔剑2D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101803,,神铸魔剑3D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101804,,神铸魔剑4D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101805,,神铸魔剑5D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101806,,神铸魔剑6D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101807,,神铸魔剑7D,2010010,2,2,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101301,,神铸之铠甲,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101302,,神铸之铠甲2D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101303,,神铸之铠甲3D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101304,,神铸之铠甲4D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101305,,神铸之铠甲5D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101306,,神铸之铠甲6D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101307,,神铸之铠甲7D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101401,,神铸之头盔,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101402,,神铸之头盔2D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101403,,神铸之头盔3D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101404,,神铸之头盔4D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101405,,神铸之头盔5D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101406,,神铸之头盔6D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101407,,神铸之头盔7D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101501,,神铸之护腿,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101502,,神铸之护腿2D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101503,,神铸之护腿3D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101504,,神铸之护腿4D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101505,,神铸之护腿5D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101506,,神铸之护腿6D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101507,,神铸之护腿7D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101601,,神铸之护手,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101602,,神铸之护手2D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101603,,神铸之护手3D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101604,,神铸之护手4D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101605,,神铸之护手5D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101606,,神铸之护手6D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101607,,神铸之护手7D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101701,,神铸之护靴,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101702,,神铸之护靴2D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101703,,神铸之护靴3D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101704,,神铸之护靴4D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101705,,神铸之护靴5D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101706,,神铸之护靴6D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31101707,,神铸之护靴7D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102201,,神铸之铠甲,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102202,,神铸之铠甲2D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102203,,神铸之铠甲3D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102204,,神铸之铠甲4D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102205,,神铸之铠甲5D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102206,,神铸之铠甲6D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102207,,神铸之铠甲7D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102301,,神铸之头盔,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102302,,神铸之头盔2D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102303,,神铸之头盔3D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102304,,神铸之头盔4D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102305,,神铸之头盔5D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102306,,神铸之头盔6D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102307,,神铸之头盔7D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102401,,神铸之护腿,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102402,,神铸之护腿2D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102403,,神铸之护腿3D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102404,,神铸之护腿4D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102405,,神铸之护腿5D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102406,,神铸之护腿6D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102407,,神铸之护腿7D,,2,15,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102501,,神铸之护手,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102502,,神铸之护手2D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102503,,神铸之护手3D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102504,,神铸之护手4D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102505,,神铸之护手5D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102506,,神铸之护手6D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102507,,神铸之护手7D,,2,16,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102601,,神铸之护靴,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102602,,神铸之护靴2D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102603,,神铸之护靴3D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102604,,神铸之护靴4D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102605,,神铸之护靴5D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102606,,神铸之护靴6D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102607,,神铸之护靴7D,,2,17,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102701,,神铸之铠甲,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102702,,神铸之铠甲2D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102703,,神铸之铠甲3D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102704,,神铸之铠甲4D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102705,,神铸之铠甲5D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102706,,神铸之铠甲6D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102707,,神铸之铠甲7D,,2,14,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102801,,神铸之头盔,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102802,,神铸之头盔2D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102803,,神铸之头盔3D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102804,,神铸之头盔4D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102805,,神铸之头盔5D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
31102806,,神铸之头盔6D,,2,13,1,1,201#0&101#0&301#0&401#0&501#0,0,,0,,91000,12,12,12,1,1,1,8,,,,,,,,30010,,,100,0,100,1,0,0,0,0,,,,,,,,,,1,,,-1,0,1,
